Intent,Question,Answer
testing,How are people tested for COVID-19?,"To be tested for COVID-19, a sample is typically collected from your nose and/or throat with a special swab at a designated collection location staffed by health care professionals. Currently, a health care professional swabbing the back of the nasal cavity through the nostril is the preferred choice. Alternatively, the health care professionalÂ may swab the back of your throat, or for patients with symptoms of COVID-19,Â the inside of the front of the nose. Depending on, among other things, the type of swab used, a health care professional may collect the sample, or you may be able to collect the sample yourself at the collection site under the supervision of health care personnel. Testing of the sample is performed in a laboratory on the prescription or order of a health care professional.Â Â "
general,Will there be food shortages?,"There are no nationwide shortages of food, although in some cases the inventory of certain foods at your grocery store might be temporarily low before stores can restock. Food production and manufacturing are widely dispersed throughout the U.S. and there are currently no widespread disruptions reported in the supply chain.Â "
"child,women,pet",Can I get COVID-19 from my pet or other animals?,There is a very small number of animals around the world reported to be infected with the virus that causes COVID-19 after having contact with a person with COVID-19. There is currently no evidence that animals are a source of COVID-19 infection in the United States.Â 
"child,women,pet","Is there a test for COVID-19 in pets? If so, has it been approved by FDA?","Certain veterinary diagnostic laboratories have developed diagnostic tests for SARS-CoV-2, the virus that causes COVID-19, for use in pets if needed.Â "
"child,women,pet",Should I get my pet tested for COVID-19?,"Routine testing of pets for COVID-19 is not recommended at this time. There is currently no evidence that animals are a source of COVID-19 infection in the United States. Based on the limited information available to date, the risk of pets spreading the virus is considered to be low. If your pet is sick, consult your veterinarian.Â "
"child,women,pet",What animal species can get COVID-19?,"We currently donâ€™t fully understand how COVID-19 affects different animal species. We are aware of a very small number of pets, including dogs and cats, reported to be infected with the virus that causes COVID-19 after close contact with people with COVID-19.Â "
"child,women,pet","Since domestic cats can get infected with the virus that causes COVID-19, should I worry about my cat?","We are still learning about this virus and how it spreads, but it appears it can spread from humans to animals in some situations. FDA is aware of a very small number of pets, including cats, reported to be infected with the virus that causes COVID-19. The majority of these cases were linked to close contact with people who tested positive for COVID-19."
"child,women,pet",Can pets carry the virus that causes COVID-19 on their skin or fur?,"Although we know certain bacteria and fungi can be carried on fur and hair, there is no evidence that viruses, including the virus that causes COVID-19, can spread to people from the skin, fur, or hair of pets."
"child,women,pet","Is it true that animals, like dogs, cats, and cattle, get their own different types of coronavirus?","Yes. Coronaviruses are a large family of viruses. Some coronaviruses like COVID-19 cause cold-like illnesses in people, while others cause illness in certain types of animals, such as cattle, camels, and bats. Some coronaviruses, such as canine and feline coronaviruses, only infect animals and do not infect humans. For example, bovine coronavirus causes diarrhea in young calves, and pregnant cows are routinely vaccinated to help prevent infection in calves. This vaccine is only licensed for use in cattle for bovine coronavirus and is not licensed to prevent COVID-19 in cattle or other species, including humans."
"child,women,pet", Should I be doing anything different to manage my pets health during the COVID-19 outbreak?,"While you should not avoid necessary visits to your veterinarian due to the COVID-19 outbreak, you should exercise reasonable caution just like you would if you were going to any other public place. If you are concerned about your own health or that of your pet when going to the veterinarian, contact their office in advance to discuss any recommended precautions."
"child,women,pet",Are pregnant women at higher risk from COVID-19?,"Data are limited, but at present there is no evidence that they are at higher risk of severe illness than the general population.
However, due to changes in their bodies and immune systems, we know that pregnant women can be badly affected by some respiratory infections. It is therefore important that they take precautions to protect themselves against COVID-19."
"child,women,pet",Iâ€™m pregnant. How can I protect myself against COVID-19?,"Pregnant women should take the same precautions to avoid COVID-19 infection as other people. 
Washing your hands frequently,Keeping space between yourselves and others,Avoiding touching your eyes, nose and mouth.
"
"child,women,pet",Should pregnant women be tested for COVID-19?,"Testing protocols and eligibility vary depending on where you live.However, WHO recommendations are that pregnant women with symptoms of COVID-19 should be prioritized for testing. If they have COVID-19, they may need specialized care. 

"
"child,women,pet","Can COVID-19 be passed from a woman to her unborn or newborn baby?



","We still do not know if a pregnant woman with COVID-19 can pass the virus to her foetus or baby during pregnancy or delivery. To date, the virus has not been found in samples of amniotic fluid or breastmilk.

 
"
"child,women,pet",What care should be available during pregnancy and childbirth?,"All pregnant women, including those with confirmed or suspected COVID-19 infections, have the right to high quality care before, during and after childbirth. This includes antenatal, newborn, postnatal, intrapartum and mental health care.

"
"child,women,pet",Can women with COVID-19 breastfeed?,Yes. Women with COVID-19 can breastfeed if they wish to do so.
"child,women,pet",Can I touch and hold my newborn baby if I have COVID-19?,"Yes. Close contact and early, exclusive breastfeeding helps a baby to thrive. You should be supported to:
Breastfeed safely, with good respiratory hygiene; 
Hold your newborn skin-to-skin, and
Share a room with your baby
You should wash your hands before and after touching your baby, and keep all surfaces clean."
general,Are people living with HIV at increased risk of being infected with the virus that causes COVID-19?,"People living with HIV with advanced disease, those with low CD4 and high viral load and those who are not taking antiretroviral treatment have an increased risk of infections and related complications in general.  It is unknown if the immunosuppression of HIV will put a person at greater risk for COVID-19, thus, until more is known, additional precautions for all people with advanced HIV or poorly controlled HIV, should be employed.

"
cure,Can antiretrovirals be used to treat COVID-19?,"Several studies have suggested that patients infected with the virus causing COVID-19, and the related coronavirus infections (SARS-CoV and MERS-CoV) had good clinical outcomes, with almost all cases recovering fully.  In some cases, patients were given an antiretroviral drug: lopinavir boosted with ritonavir (LPV/r). These studies were mostly carried out in HIV-negative individuals.

"
cure,Can antiretrovirals be used to prevent COVID-19 infection?,"Two studies have reported the use of LPV/r as post-exposure prophylaxis for SARS-CoV and MERS-CoV. One of these studies suggested that the occurrence of MERS-CoV infection was lower among health workers receiving LPV/r compared to those who did not receive any drugs; the other study found no cases of SARS-CoV infection among 19 people living with HIV hospitalized in the same ward of SARS patients, of whom 11 were on antiretroviral therapy. Again, the certainty of the evidence is very low due to small sample size, variability in drugs provided, and uncertainty regarding intensity of exposure.

"
prevention and protection,What studies on treatment and prevention of COVID-19 with antiretrovirals are being planned?,"Several randomized trials are planned to assess the safety and efficacy of using antiretroviral drugs â€“ mainly LPV/r â€“ for treating COVID-19, in combination with other drugs. Results are expected from mid-2020 onwards.

"
cure,What is WHOâ€™s position on the use of antiretrovirals for the treatment of COVID-19?,"Currently, there is insufficient data to assess the effectiveness of LPV/r or other antivirals for treating COVID-19. Several countries are evaluating the use of LPV/r and other antivirals and we welcome the results of these investigations.

"
cure,What is WHOâ€™s position on use of corticosteroids for the treatment of COVID-19?,"The current interim guidance from WHO on clinical management of severe acute respiratory infection when COVID-19 infection is suspected advises against the use of corticosteroids unless indicated for another reason.[8]

"
mental health and fitness,How do we ensure human rights and reduce stigma and discrimination?,"WHO is working with partners including the UNAIDS Joint Programme and the Global Network of People Living with HIV to ensure that human rights are not eroded in the response to COVID-19 and to ensure that people living with or affected by HIV are offered the same access to services as others and to ensure HIV-related services continue without disruption.

"
cure,What is the role multi-month prescriptions and dispensing for antiretrovirals and other medicines?,"Clinically stable adults, children, adolescents and pregnant and breastfeeding women as well as members of key populations (people who inject drugs, sex workers, men who have sex with men, transgender people and people living in prisons and closed settings) can benefit from simplified antiretroviral therapy delivery models which include multi-month prescriptions and dispensing (3-6 month supply) which will reduce the frequency of visits to clinical settings and ensures continuity of treatment during possible disruption of movements during the coronavirus outbreak. "
"child,women,pet",Can pregnant or postpartum women living with HIV transmit the COVID-19 virus to their unborn child or infant?,"There are few data on the clinical presentation of COVID-19 in specific populations, such as children and pregnant women[13] but findings from a small published study suggest that there is currently no evidence for intrauterine infection caused by vertical transmission in women who develop COVID-19 pneumonia in late pregnancy[14].  Although no vertical transmission has been documented, transmission after birth via contact with infectious respiratory secretions is a concern."
"child,women,pet",Should pregnant and breastfeeding women living with HIV with COVID-19 and their newborns be managed differently?," Pregnant and recently pregnant women with suspected or confirmed COVID-19 should be treated with supportive and management therapies, considering the immunologic and physiologic adaptations during and after pregnancy which may overlap with COVID-19 symptoms.  Data are limited but, until the evidence base provides clearer information, special consideration should be given to pregnant women with concomitant medical illnesses who could be infected with COVID-19."
info,How are COVID-19 and influenza viruses similar?,"COVID-19 and influenza viruses have a similar disease presentation. That is, they both cause respiratory disease, which presents as a wide range of illness from asymptomatic or mild through to severe disease and death.

"
info,How are COVID-19 and influenza viruses different?,"The speed of transmission is an important point of difference between the two viruses. Influenza has a shorter median incubation period (the time from infection to appearance of symptoms) and a shorter serial interval (the time between successive cases) than COVID-19 virus. The serial interval for COVID-19 virus is estimated to be 5-6 days, while for influenza virus, the serial interval is 3 days. This means that influenza can spread faster than COVID-19. 

"
cure,What medical interventions are available for COVID-19 and influenza viruses?,"While there are a number of therapeutics currently in clinical trials in China and more than 20 vaccines in development for COVID-19, there are currently no licensed vaccines or therapeutics for COVID-19.  In contrast, antivirals and vaccines available for influenza. While the influenza vaccine is not effective against COVID-19 virus, it is highly recommended to get vaccinated each year to prevent influenza infection. 

"
prevention and protection,What factors should organizers and health authorities look at when assessing whether the risks are acceptable or not?,"For countries not currently known to be experiencing community transmission of COVID-19, the priority consideration will be whether the planned mass gathering event substantially increases the risk of the virus entering the country and becoming established, as well as the risk for participants to importing infection back to their home country and further increasing global spread."
movement,What should be the criteria for excluding an athlete or other accredited participant from competing?,"Agreed health criteria are needed for the exclusion of athletes from competing and for allowing them to return to competition wherever appropriate. These should be consistent with public health guidelines for the general population, with risk profiles based on recent travel to high-risk community transmission zones, recent contact with individuals diagnosed with or suspected of having COVID-19, current symptomatology, etc. "
movement,What are the risks arising from public transport to the venue(s)?,The extra risk from participants and spectators travelling on public transport in a major city may not be significant compared to the ongoing risk to the local population using the transport all the time if physical distancing is not possible on public transport.
general,"What are the recommendation regarding disinfection of vehicles, goods and products coming from China or other COVID-19 affected countries?","To date there is no epidemiological information to suggest that contact with goods, products or vehicles shipped from COVID-19 affected countries have been the source of COVID-19 in humans.

"
testing,Should blood centers routinely screen blood products for COVID-19 virus?,"No, although RNA fragments of SARS-CoV-2 were detected in blood of symptomatic COVID-19 patients, this does not mean that the virus is viable/infectious. In general, respiratory viruses are not known to be transmitted by blood transfusion. "
prevention and protection,Can disposable medical face masks be sterilized and reused?,No. Disposable medical face masks are intended for a single use only.
prevention and protection,Why does WHO recommend contact and droplet precautions and not routine use of airborne precautions for healthcare workers providing care to patients with suspected/confirmed 2019-nCoV infection?,WHO developed its rapid guidance based on the consensus of international experts who considered the currently available evidence on the modes of transmission of 2019-nCoV.
prevention and protection,Does WHO recommend routine wearing masks for healthy people during the covid-19 outbreak?,"No. WHO does not recommend that asymptomatic individuals (i.e., who do not have respiratory symptoms) in the community should wear medical masks, as currently there is no evidence that routine use of medical masks by healthy individuals prevents 2019-nCoV transmission."
general,Can patients with suspected and confirmed covid-19 infection be cohorted in the same room?,"Ideally, suspected and confirmed 2019-nCoV acute respiratory disease patients should be isolated in single rooms. However, when this is not feasible (e.g., limited number of single rooms), cohorting is an acceptable option. "
general,Do patients with suspected or confirmed covid-19 need to be hospitalized if they have mild illness?,"No. For patients who have mild illness, hospitalization may not be required unless there is concern for rapid clinical deterioration. "
general,Are specialized or referral hospitals required for patients with suspected or confirmed covid-19 infection when hospitalization is needed?,No. Current WHO recommendations do not include a requirement for exclusive use of specialized or referral hospitals to treat suspected or confirmed 2019-nCoV acute respiratory disease patients.
prevention and protection,What are the disinfectants recommended for cleaning in healthcare facilities or homes housing patients ?,"Environmental cleaning in healthcare facilities or homes housing patients with suspected or confirmed 2019-nCoV infection should use disinfectants that are active against enveloped viruses, such as 2019-nCoV and other coronaviruses. "
spread,How long can the coronavirus survive on a dry surface?,"There is currently no data available on stability of 2019-nCoV on surfaces.  Data from laboratory studies on SARS-CoV and MERS-CoV have shown that stability in the environment depends on several factors including relative temperature, humidity, and surface type."
prevention and protection,Is there a special procedure regarding waste produced by patients with suspected or confirmed covid-19?,No. Waste produced during the health care or home care of patients with suspected or confirmed 2019-nCoV infection should be disposed of as infectious waste.
general,Are there special procedures for the management of bodies of persons who have died from covid-19?,"No, there are no special procedures for the management of bodies of persons who have died from 2019-nCoV."
general,Is there a model for setting up an isolation ward and types and products and health requirements?,A model for setting up an isolation ward is currently under development.
prevention and protection,Can chlorine solutions also be used as hand sanitizer?,Chlorine solutions are strongly discouraged as they carry a higher risk of hand irritation.
impact of corona,Will COVID-19 have negative impacts on global food security?,"Both lives and livelihoods are at risk from this pandemic.

The disease is spreading quickly. This is no longer a regional issueâ€”it is a global problem calling for a global response"
impact of corona,"Whose food security and livelihoods are most at risk due to the pandemic?
","Currently, some 820 million people around the world are experiencing chronic hunger â€“ not eating enough caloric energy to live normal lives. Of these, 113 million are coping with acute severe insecurity â€“ hunger so severe that it poses an immediate threat to their lives or livelihoods and renders them reliant on external assistance to survive. These people can ill-afford any potential further disruptions to their livelihoods or access to food that COVID-19 might bring.

"
impact of corona," What are the implications of the COVID-19 situation now and in the future  for food production, agricultural and fishery/aquaculture supply chains and markets?","As of now, disruptions are minimal, as food supply has been adequate, and markets have been stable so far. Global cereal stocks are at comfortable levels and the outlook for wheat and other major staple crops for 2020 is positive.

"
Impact of Corona,How will the pandemic affect food demand?," reduced income and uncertainty make people spend less and result in shrinking demand. Sales declined. So did production. Moreover, the most affected were forced to revert to negative coping strategies - such as selling of productive assets, less diverse diets, overfishing â€“ to compensate for income constraints.

"
Impact Of Corona,How is the pandemic affecting or will affect food prices?,"The international prices of some major food staples, such as palm oil and maize, have in fact declined, so this question is not as simple as it seems. The only staple food that has seen rising prices is rice, and thatâ€™s linked to the export restrictions of a key exporter. "
Impact Of Corona,What is the pandemic's impact on the global economy?,"Markets are more integrated and interlinked, with a Chinese economy that contributes 16 percent to the global gross domestic product. Thus, any shock that affects China now has far greater consequences for the world economy. According to the International Monetary Fund (IMF), the global economy is expected to shrink by over 3 per cent in 2020 â€“ the steepest slowdown since the Great Depression of the 1930s.

"
spread,What are FAOâ€™s recommendations to mitigate the risks of the pandemic on food security and nutrition?,Countries should meet the immediate food needs of their vulnerable populations.Countries should boost their social protection programmes.Countries should gain efficiencies and try to reduce trade-related costs
general,How has FAO responded to the COVID-19 outbreak?,"As part of its COVID-19 response, FAOâ€™s priorities are: (1) support developing countries to anticipate and mitigate the pandemicâ€™s impacts on their populationsâ€™ food security and livelihoods; (2) contribute to discussions on mitigating COVID-19â€™s impacts on global food trade and markets;"
info,What is a coronavirus?,"Coronaviruses are a large family of viruses which may cause illness in animals or humans.  In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19.

"
info,What is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019. COVID-19 is now a pandemic affecting many countries globally.

"
symptoms,What are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, dry cough, and tiredness. Some patients may have aches and pains, nasal congestion, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but only have very mild symptoms."
symptoms,What should I do if I have COVID-19 symptoms and when should I seek medical care?,"If you have minor symptoms, such as a slight cough or a mild fever, there is generally no need to seek medical care. Stay at home, self-isolate and monitor your symptoms. Follow national guidance on self-isolation.

"
spread,How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease spreads primarily from person to person through small droplets from the nose or mouth, which are expelled when a person with COVID-19 coughs, sneezes, or speaks. These droplets are relatively heavy, do not travel far and quickly sink to the ground. People can catch COVID-19 if they breathe in these droplets from a person infected with the virus."
symptoms,Can COVID-19 be caught from a person who has no symptoms?,COVID-19 is mainly spread through respiratory droplets expelled by someone who is coughing or has other symptoms such as fever or tiredness. Many people with COVID-19 experience only mild symptoms. This is particularly true in the early stages of the disease.Â 
Prevention and protection,How can we protect others and ourselves if we don't know who is infected?,"Practicing hand and respiratory hygiene is important at ALL times and is the best way to protect others and yourself.

"
Prevention and protection,What should I do if I have come in close contact with someone who has COVID-19?,"If you have been in close contact with someone with COVID-19, you may be infected.

Close contact means that you live with or have been in settings of less than 1 metre from those who have the disease. In these cases, it is best to stay at home.

"
General,What does it mean to self-isolate?,"Self-isolation is when a person who is experiencing fever, cough or other COVID-19 symptoms stays at home and does not go to work, school or public places. This can be voluntarily or based on his/her health care providerâ€™s recommendation. "
General,What is social distancing?,"
Physical distancing means being physically apart. WHO recommends keeping at least 1-metre (3 feet) distance from others. This is a general measure that everyone should take even if they are well with no known exposure to COVID-19.


"
General,What does it mean to self-quarantine?,"To self-quarantine means to separate yourself from others because you have been exposed to someone with COVID-19 even though you, yourself, do not have symptoms."
"Children, women, pets",Can children or adolescents catch COVID-19?,"Research indicates that children and adolescents are just as likely to become infected as any other age group and can spread the disease.

"
Prevention and protection,What can I do to protect myself and prevent the spread of disease?,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water."
Cure,"Is there a vaccine, drug or treatment for COVID-19?","To date, there is no vaccine and no specific antiviral medicines against COVID-19. However, people, particularly those with serious illness, may need to be hospitalized so that they can receive life-saving treatment for complications."
Prevention and protection,"How to properly wear a medical mask?
","If you choose to wear a mask:

Before touching the mask, clean hands with an alcohol-based hand rub or soap and water
Take the mask and inspect it for tears or holes.
Orient which side is the top side (where the metal strip is).
Ensure the proper side of the mask faces outwards (the coloured side).
Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.
Pull down the mask's bottom so it covers your mouth and your chin."
spread,How long does it take after exposure to COVID-19 to develop symptoms?,"The time between exposure to COVID-19 and the moment when symptoms start is commonly around five to six days but can range from 1 to 14 days.

"
"Children, women, pets",What is the connection between COVID-19 and animals?,"COVID-19 is spread through human-to-human transmission.

We already know a lot about other viruses in the coronavirus family and most of these types of viruses have an origin in animals. The COVID-19 virus (also called SARS-CoV-2) is a new virus in humans. The possible animal source of COVID-19 has not yet been confirmed but research is ongoing."
"Children, women, pets",Can I catch COVID-19 from my pet?,There is no evidence that animals can transmit the disease to human and play a role in spreading COVID-19.
spread,How long does the virus survive on surfaces?,"The most important thing to know about coronavirus on surfaces is that they can easily be cleaned with common household disinfectants that will kill the virus. Studies have shown that the COVID-19 virus can survive for up to 72 hours on plastic and stainless steel, less than 4 hours on copper and less than 24 hours on cardboard.

"
spread,How to grocery shop safely?,"When grocery shopping, keep at least 1-metre distance from others and avoid touching your eyes, mouth and nose. If possible, sanitize the handles of shopping trolleys or baskets before shopping. Once home, wash your hands thoroughly and also after handling and storing your purchased products.

"
General,How to wash fruits and vegetables?,"Fruits and vegetables are important components of a healthy diet. Wash them the same way you should do under any circumstance: before handling them, wash your hands with soap and water. Then, wash fruits and vegetables thoroughly with clean water, especially if you eat them raw.

"
Cure,Are antibiotics effective in preventing or treating COVID-19?,"No. Antibiotics do not work against viruses; they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work"
General,Are smokers and tobacco users at higher risk of COVID-19 infection?,Smokers are likely to be more vulnerable to COVID-19 as the act of smoking means that fingers (and possibly contaminated cigarettes) are in contact with lips which increases the possibility of transmission of virus from hand to mouth.
General,I can't access my contraceptive method of choice. What do you advise?,"consider using condoms, fertility awareness-based methods, lactational amenorrhea (if you are exclusively breastfeeding), or other contraceptive methods that are recommended for self-care in your country.  "
General,What is the best contraceptive method to use during the COVID-19 pandemic?,"All modern methods of contraception help to prevent pregnancy. Women and their partners can choose any modern contraceptive method that is acceptable to and safe for them. The best method of contraception is the one that works well for you.

"
General,I want to change my contraceptive method. Is this possible?,"Yes. It may be difficult however, to access all the methods of contraception that are normally available in your country due to restrictions on movement, lack of supply, as well as increased demands on health providers and services.  

"
General,I want to remove or replace my implant or IUD. Can I do this during COVID-19 pandemic?,"Removal of long acting methods such as implants or IUDs, after the recommended period of use (and routine follow up appointments) may not be prioritized by your country's health system during this health emergency. Seek advice from your health provider. 

"
General,"Why is providing contraception/ family planning, as well as family planning services and information, important during the COVID-19 pandemic?","Contraception and family planning information and services are life-saving and important at all times. Sexual activity does not cease with the COVID-19 pandemic, it is therefore crucial to ensure that people are able to access rights-based services and information to initiate and / or continue use of contraception. 

"
Mental Health and Fitness,Why do we need physical activity?,"Regular physical activity benefits both the body and mind. It can reduce high blood pressure, help manage weight and reduce the risk of heart disease, stroke, type 2 diabetes, and various cancers. It also improves bone and muscle strength and increases balance, flexibility and fitness."
Mental Health and Fitness,How much physical activity is recommended?,"Children and adolescents aged 5-17years

all children and adolescents should do at least 60 minutes a day of moderate to vigorous-intensity physical activity, including activities that strengthen muscle and bone, at least 3 days per week.
Adults aged over 18 years

should do a total of at least 150 minutes of moderate-intensity physical activity throughout the week, or at least 75 minutes of vigorous-intensity physical activity throughout the week, including muscle-strengthening activities 2 or more days per week.
older adults with poor mobility should do physical activity to enhance balance and prevent falls on 3 or more days per week."
Mental Health and Fitness,So how do I stay safe while exercising in COVID-19?,"Do not exercise if you have a fever, cough and difficulty breathing.If you are able to go for a walk or bicycle ride.If you go to a park or public open space to walk, run or exercise."
Mental Health and Fitness,How do I stay active in and around the home?,"Try and reduce long periods of time spent sitting,Set up a regular routine to be active every day,Be active with your family and friends."
General,How many malaria-affected countries have reported cases of COVID-19?," In the WHO African Region, which carries more than 90% of the global malaria burden, 37 countries had reported cases of the disease as of 25 March; of these, 10 countries reported local transmission of the disease. The latest situation reports on the COVID-19 pandemic are available on the WHO website."
cure,What is the use of chloroquine and hydroxychloroquine in the context of the COVID-19 response?,"Currently, there is insufficient data to assess the efficacy of the medicines in treating patients with COVID-19, or in preventing them from contracting the coronavirus."
"Children, women, pets",How does COVID-19 increase risks of violence for women?,"Stress, the disruption of social and protective networks, loss of income and decreased access to services all can exacerbate the risk of violence for women. 

"
cure,Who should use Hydroxychloroquine ?, HCQ can be used as a preventive measure by front line workers including doctors and nurses (and anyone who has been exposed to a novel coronavirus patient). 
cure,How does Hydroxychloroquine help ?,It was found that HCQ could significantly shorten TTCR (Time To Clinical Recovery) and promote the absorption of pneumonia. 
info,What is the recovery time for the coronavirus disease?,"Using available preliminary data, the median time from onset to clinical recovery for mild cases is approximately 2 weeks and is 3-6 weeks for patients with severe or critical disease.
"
myth,Does heat kill the coronavirus?,At normal temperature NO. Heat at 56°C kills the SARS coronavirus at around 10000 units per 15 min.
General,What is India's fatality rate ?,"India's case fatality rate is relatively lower at 3.09%, against the global 6.63% as of 20 May 2020."
General,Which cities are the most affected ?," Five cities account for around half of all reported cases in the country which are:  Mumbai, Delhi, Ahmedabad, Chennai, Pune and Kolkata."
spread,Can the coronavirus disease spread through food?,"Current evidence on other coronavirus strains shows that while coronaviruses appear to be stable at low and freezing temperatures for a certain period, food hygiene and good food safety practices can prevent their transmission through food."
Prevention and protection,Can cold weather and snow prevent the coronavirus disease?,Cold weather and snow CANNOT kill the new coronavirus.
info,What is the recovery time in coronavirus ?,"Using available preliminary data, the median time from onset to clinical recovery for mild cases is approximately 2 weeks and is 3-6 weeks for patients with severe or critical disease."
General,Can someone who died from coronavirus disease be buried?,People who have died from COVID-19 can be buried or cremated. Confirm national and local requirements that may dictate the handling and disposition of the remains.
General,What is an N-95 respirator mask?,"An N-95 respirator mask is a respiratory protective device with high filtration efficiency to airborne particles. To provide the requisite air seal to the wearer, such masks are designed to achieve a very close facial fit."
General,When will lockdown end ?,visit www.mohfw.gov.in for lockdown related info on coronvirus.
General,First case of COVID-19 in India ?,"On 30 January, India reported its first case of COVID-19 in Kerala, which rose to three cases by 3 February."
General,In which areas are no cases reported ?,"As of 20 May 2020, two regions, Sikkim and Lakshadweep have not reported a case."
General,When was lockdown started in India ?,"24 March, the Prime Minister ordered a nationwide lockdown for 21 days, affecting the entire 1.3 billion population of India."
General,First death due to coronavirus in India?,"On 12 March, a 76-year-old man who had returned from Saudi Arabia became the first victim of the virus in the country."
General,An interesting fact about coronavirus in India?,"A Sikh preacher that returned from travel to Italy and Germany, carrying the virus, turned into ""super spreader"" by attending a Sikh festival in Anandpur Sahib during 10 -12 March."
General,What was the role of Tablighi Jamaat in spreading of coronavirus ?,"On 31 March, a Tablighi Jamaat religious congregation event that took place in Delhi in early March emerged as a new virus hotspot after numerous cases across the country were traced back to the event."
General,Precautions taken by India during coronavirus epidemic ?," India began thermal screening of passengers arriving from China on 21 January.On 3 March 2020, the Indian government stopped issuing of new visas."
"child,women,pet",When were the schools closed in India ?,In general Schools started closing between 3-15 March.
general,What is red zone ?,Red zone (Hotspots) are zones or districts with high doubling rate and high number of active cases
General,What is green zone ?,Green zones are districts without confirmed cases or without new cases in last 21 days
General,what is ornage zone ?,Orange zone (Non-hotspots) are districts with fewer cases
Impact Of Corona,will lockdown help in reducing impact of coronavirus ?,"Of Course , it will surely reduce the spread of coronavirus through minimising human-to-human connection. "
General,what is aarogya setu ?,The Ministry of Electronics and Information Technology launched a smart phone application called Aarogya Setu to help in "contact tracing and containing the spread" of COVID-19 pandemic in the nation.
General,what about the migrants  movement during the crisis ?,"With factories and workplaces shut down, many migrant workers were left with no livelihood. They thus decided to walk hundreds of kilometres to go back to their native villages, accompanied by their families in many cases."
Impact Of Corona,What will the affect of coronavirus on employement ?,The coronavirus lockdown in India has left tens of millions of migrant workers unemployed. With companies retracting offers.
Cure,Are there any specific medicines to prevent or treat the new coronavirus?,"To date, there is no specific medicine recommended to prevent or treat the new coronavirus (2019-nCoV)."
"Children, women, pets","Does the new coronavirus affect older people, or are younger people also susceptible?","People of all ages can be infected by the new coronavirus (2019-nCoV). Older people, and people with pre-existing medical conditions (such as asthma, diabetes, heart disease) appear to be more vulnerable to becoming severely ill with the virus.Â "
General,Can Thermal scanners detect coronavirus ?,Thermal scanners CANNOT detect COVID-19
Myths and rumours,Can eating garlic protect me from Coronavirus?,"NO! Drinking boiled garlic water, which some posts have suggested, or eating garlic will not protect you from coronavirus."
Myths and rumours,"Does drinking methanol, ethanol or bleach prevent or cure COVID-19?Â ","No and doing so can be extremely dangerous. Methanol, ethanol, and bleach are poisons. Drinking them can lead to disability and death."
Myths and rumours,Can spraying alcohol or chlorine all over your body kill the new coronavirus?,No. Spraying alcohol or chlorine all over your body will not kill viruses that have already entered your body.
Mental Health and Fitness,"How can this outbreak affect our mental health, our mental wellbeing?","Beyond the fear of actually getting sick or having loved ones get sick, the unknown is the biggest problem for people right now."
Mental Health and Fitness,What could be the long-term effects on mental health?,"People are regarding one another with a lot more trepidation and suspicion.it's going to have a major behavioral impact, which will dovetail into mental health issues."
Mental Health and Fitness,How to deal with stress during coronavirus ?,"It is normal to feel sad, stressed, confused, scared or angry during a crisis. Talking to people you trust can help. Contact your friends and family."
Mental Health and Fitness,How do I stay fit ?,"Global recommendations are for all adults to accumulate at least 150 minutes of moderate-intensity or 75 minutes of vigorous-intensity physical activity per week, as well as muscle-strengthening activities on two or more days a week."
Mental Health and Fitness,How to include exercise in your day ?,"Schedule a block during the day for your workout routine: If it's not on the schedule, it doesn't exist."
Impact Of Corona,What is the impact of coronavirus on economy ?,The economic impact of the 2020 coronavirus pandemic in IndiaÂ has been largely disruptive. The World Bank and rating agencies had initially downgraded India's growth for fiscal year 2021 with the lowest figures India has seen in three decades since India's economic liberalization in the 1990s.
General,What are the steps taken by the government for economy ?,"On 18 April 2020, India changed its foreign direct investment (FDI) policy to curb ""'opportunistic takeovers/acquisitions' of Indian companies due to the current pandemic""."
Impact Of Corona,What are the effects of Coronavirus on Stock Market ?,"On 23 March 2020,Â stock markets in India post worst losses in history.Â SENSEXÂ fell 4000 points (13.15%) andÂ NSE NIFTYÂ fell 1150 points (12.98%)."
General,what is the government doing about migrants ?,Indian govt has released a 20 Lakh Crore package to help people in the hardships.
Myths and rumours,can eating meat causes coronavirus ?,The answer is NO.
"Children, women, pets","can pets,dogs and cats spread the coronavirus disease ?",At present there is no evidence that pets can spread coronavirus.
Myths and rumours,are antibiotics effective against coronavirus ?,Antibiotics are effective in fighting against bacteria and not viruses. COVID-19 is a virus hence it cannot be treated or used as a prevention measure against the novel coronavirus.Â 
